date,HS2,New Hospital Programme,Sizewell C
2025-08-22,12.0,0.0,9.0
2025-08-23,16.0,0.0,9.0
2025-08-24,28.0,0.0,2.0
2025-08-25,19.0,0.0,0.0
2025-08-26,18.0,1.0,7.0
2025-08-27,32.0,1.0,14.0
2025-08-28,13.0,0.0,4.0
2025-08-29,25.0,0.0,2.0
2025-08-30,18.0,0.0,1.0
2025-08-31,23.0,0.0,4.0
2025-09-01,19.0,0.0,5.0
2025-09-02,34.0,0.0,4.0
2025-09-03,25.0,0.0,6.0
2025-09-04,22.0,1.0,4.0
2025-09-05,13.0,1.0,0.0
2025-09-06,9.0,0.0,3.0
2025-09-07,8.0,0.0,2.0
2025-09-08,16.0,0.0,4.0
2025-09-09,25.0,2.0,10.0
2025-09-10,30.0,0.0,13.0
2025-09-11,18.0,1.0,6.0
2025-09-12,21.0,0.0,5.0
2025-09-13,20.0,0.0,3.0
2025-09-14,13.0,0.0,5.0
2025-09-15,20.0,0.0,10.0
2025-09-16,20.0,1.0,5.0
2025-09-17,13.0,0.0,0.0
2025-09-18,16.0,0.0,6.0
2025-09-19,18.0,0.0,2.0
2025-09-20,28.0,0.0,2.0
2025-09-21,31.0,0.0,5.0
2025-09-22,18.0,0.0,6.0
2025-09-23,28.0,0.0,3.0
2025-09-24,30.0,0.0,4.0
2025-09-25,29.0,0.0,5.0
2025-09-26,26.0,0.0,2.0
2025-09-27,15.0,0.0,2.0
2025-09-28,24.0,2.0,0.0
2025-09-29,25.0,0.0,4.0
2025-09-30,18.0,0.0,0.0
2025-10-01,8.0,0.0,3.0
2025-10-02,43.0,0.0,7.0
2025-10-03,25.0,0.0,13.0
2025-10-04,21.0,0.0,4.0
2025-10-05,28.0,0.0,5.0
2025-10-06,12.0,0.0,2.0
2025-10-07,22.0,0.0,1.0
2025-10-08,14.0,0.0,0.0
2025-10-09,13.0,0.0,5.0
2025-10-10,4.0,0.0,0.0
2025-10-11,9.0,0.0,2.0
2025-10-12,35.0,0.0,4.0
2025-10-13,25.0,1.0,7.0
2025-10-14,24.0,0.0,11.0
2025-10-15,20.0,0.0,8.0
2025-10-16,15.0,0.0,3.0
2025-10-17,10.0,1.0,1.0
2025-10-18,14.0,0.0,2.0
2025-10-19,19.0,0.0,4.0
2025-10-20,15.0,0.0,2.0
2025-10-21,14.0,0.0,5.0
2025-10-22,54.0,0.0,6.0
2025-10-23,38.0,0.0,6.0
2025-10-24,20.0,1.0,4.0
2025-10-25,35.0,0.0,6.0
2025-10-26,23.0,0.0,8.0
2025-10-27,20.0,0.0,3.0
2025-10-28,21.0,0.0,4.0
2025-10-29,16.0,2.0,1.0
2025-10-30,24.0,2.0,3.0
2025-10-31,16.0,2.0,6.0
2025-11-01,15.0,0.0,3.0
2025-11-02,6.0,0.0,2.0
2025-11-03,68.0,0.0,2.0
2025-11-04,33.0,0.0,6.0
2025-11-05,23.0,0.0,14.0
2025-11-06,25.0,0.0,6.0
2025-11-07,19.0,0.0,2.0
2025-11-08,57.0,0.0,7.0
2025-11-09,28.0,0.0,1.0
2025-11-10,19.0,0.0,4.0
2025-11-11,10.0,0.0,1.0
2025-11-12,19.0,0.0,1.0
2025-11-13,13.0,0.0,4.0
2025-11-14,21.0,0.0,5.0
2025-11-15,20.0,0.0,2.0
2025-11-16,11.0,0.0,2.0
2025-11-17,16.0,0.0,3.0
2025-11-18,16.0,1.0,1.0
2025-11-19,36.0,1.0,6.0
2025-11-20,14.0,0.0,1.0
2025-11-21,17.0,1.0,6.0
2025-11-22,9.0,0.0,3.0
2025-11-23,17.0,0.0,1.0
2025-11-24,20.0,1.0,4.0
2025-11-25,63.0,4.0,1.0
2025-11-26,32.0,0.0,4.0
2025-11-27,31.0,0.0,4.0
2025-11-28,17.0,0.0,12.0
2025-11-29,50.0,0.0,5.0
2025-11-30,28.0,0.0,7.0
2025-12-01,36.0,0.0,3.0
2025-12-02,32.0,0.0,4.0
2025-12-03,10.0,0.0,4.0
2025-12-04,18.0,1.0,3.0
2025-12-05,15.0,2.0,2.0
2025-12-06,7.0,0.0,2.0
2025-12-07,15.0,1.0,3.0
2025-12-08,10.0,0.0,2.0
2025-12-09,23.0,0.0,7.0
2025-12-10,22.0,0.0,4.0
2025-12-11,17.0,0.0,3.0
2025-12-12,10.0,0.0,4.0
2025-12-13,17.0,0.0,4.0
2025-12-14,6.0,0.0,0.0
2025-12-15,14.0,1.0,7.0
2025-12-16,169.0,1.0,4.0
2025-12-17,31.0,0.0,3.0
2025-12-18,44.0,0.0,2.0
2025-12-19,6.0,0.0,3.0
